NAALAD2	NAALAD2_rna-XM_015280387.2
SPAM1	SPAM1_rna-XM_004937520.2
KANK1	KANK1_rna-XM_025144647.1
MAP4K5	MAP4K5_rna-XM_015276743.2
TBC1D13	TBC1D13_ENSGALT00000081000.3
PAFAH1B1	PAFAH1B1_rna-NM_204324.1
ADAM9	ADAM9_rna-NM_001031396.2
SBF1	SBF1_rna-XM_015273565.2
FILIP1	FILIP1_ENSGALT00000103142.1
DIP2B	DIP2B_rna-XM_004949722.3
XAF1	XAF1_rna-XM_415922.5
BORA	BORA_rna-XM_025151504.1
OSER1	OSER1_ENSGALT00000091374.1
NRXN1	NRXN1_rna-XM_015278029.2
ADAM19	ADAM19_rna-NM_001195122.1
SKI	SKI_rna-XM_025142546.1
MCF2L	MCF2L_rna-XM_015277848.2
ADAMTS18	ADAMTS18_rna-XM_015292518.2
DHFR	DHFR_rna-NM_001006584.2
TTPAL	TTPAL_rna-XM_025142194.1
LRRC18	LRRC18_ENSGALT00000098949.1
CCDC17	CCDC17_rna-XM_015291273.2
SMURF2	SMURF2_ENSGALT00000005647.6
CLC2IL1	CLC2IL1_rna-XM_025155924.1
CACNA1G	CACNA1G_rna-XM_025141835.1
GTDC1	GTDC1_rna-XM_025152233.1
QKI	QKI_ENSGALT00000065122.3
PPP2R2A	PPP2R2A_rna-XM_015297314.2
CBX6	CBX6_rna-XM_015288679.2
MNT	MNT_rna-XM_015295870.1
C11orf24	C11orf24_rna-XM_015286829.2
RAMP2	RAMP2_rna-NM_001105610.1
MHCBL2	MHCBL2_rna-XM_015295104.2
MAP7	MAP7_rna-XM_015284096.2
NAA35	NAA35_ENSGALT00000097740.1
USB1	USB1_rna-XM_025154276.1
L3HYPDH	L3HYPDH_ENSGALT00000019600.7
CMC4	CMC4_ENSGALT00000040301.4
ACTL7A	ACTL7A_rna-XM_015280394.2
CACNB1	CACNB1_rna-XM_015299527.2
DOCK7	DOCK7_rna-XM_015291131.2
SLC7A2	SLC7A2_rna-XM_025149689.1
F8A3	F8A3_rna-XM_025149812.1
HEATR5B	HEATR5B_rna-XM_015283750.2
LATS1	LATS1_rna-XM_004935607.3
TMEM230	TMEM230_ENSGALT00000087311.2
NQO1	NQO1_rna-NM_001277621.1
CCDC137	CCDC137_rna-XM_015279927.2
RPS8	RPS8_ENSGALT00000068781.2
TAGLN	TAGLN_rna-NM_205494.1
AXIN1	AXIN1_rna-XM_025155050.1
FGFR1OP2	FGFR1OP2_rna-XM_015290277.2
ITGAD	ITGAD_rna-XM_025155182.1
MGST1	MGST1_ENSGALT00000087347.2
FBXL21	FBXL21_rna-NM_001270995.1
STMN4	STMN4_rna-XM_004935870.3
PTPRE	PTPRE_rna-XM_015289044.2
NUCB2	NUCB2_rna-XM_015286582.2
EPB41	EPB41_rna-XM_025142973.1
SCEL	SCEL_rna-XM_025146768.1
PRAM1	PRAM1_rna-XM_004948673.3
NR4A2	NR4A2_ENSGALT00000104434.1
CAV2	CAV2_rna-NM_001007086.1
SLC23A2	SLC23A2_rna-XM_025142774.1
AP2M1	AP2M1_rna-XM_015291444.2
ADAMTS14	ADAMTS14_rna-XM_004942045.3
AQP2	AQP2_rna-XM_025145313.1
PPM1H	PPM1H_ENSGALT00000015947.6
HAO2	HAO2_ENSGALT00000023816.6
SCUBE2	SCUBE2_rna-XM_015286476.2
OGT	OGT_ENSGALT00000072606.2
PITPNA	PITPNA_ENSGALT00000052226.2
PDCD11	PDCD11_ENSGALT00000056557.2
MORC3	MORC3_rna-XM_015299444.2
PFDN2	PFDN2_rna-XM_004948403.3
EIF2S2	EIF2S2_rna-NM_204597.1
UXS1	UXS1_rna-XM_416926.6
ACTR3B	ACTR3B_rna-XM_418544.6
RIPPLY2	RIPPLY2_rna-XM_419859.5
PPFIBP2	PPFIBP2_rna-XM_025151030.1
PRPF40A	PRPF40A_ENSGALT00000020462.6
FIP1L1	FIP1L1_rna-XM_015285535.2
LMO7	LMO7_rna-XM_015277107.2
VH26L2	VH26L2_id-VH26L2
GPRC5B	GPRC5B_rna-XM_015294795.1
PLEKHG5	PLEKHG5_rna-XM_025142717.1
MAP4	MAP4_rna-XM_015281165.2
ANO6	ANO6_rna-XM_004937549.3
MDFIC2	MDFIC2_ENSGALT00000012550.7
GZF1	GZF1_rna-NM_001349739.1
INPP4A	INPP4A_rna-XM_416886.5
PLS1	PLS1_ENSGALT00000004173.3
LYPLAL1	LYPLAL1_rna-NM_001277567.1
PDIA3	PDIA3_ENSGALT00000013589.6
JAM3	JAM3_ENSGALT00000103607.1
ABCA5	ABCA5_rna-XM_415695.6
HESX1	HESX1_rna-NM_205012.2
CLDN14	CLDN14_rna-XM_015300231.2
TMEM169	TMEM169_rna-XM_025152586.1
WASHC3	WASHC3_rna-XM_416327.6
ACAP2	ACAP2_rna-XM_015291395.2
COL12A1	COL12A1_rna-XM_015284742.2
LMLN	LMLN_ENSGALT00000019713.6
TLDC2	TLDC2_rna-XM_025142387.1
PHTF1	PHTF1_rna-XM_004934998.3
PLEKHA5	PLEKHA5_rna-XM_015291924.2
ACP6	ACP6_rna-NM_001278077.1
ARPC4-TTLL3	ARPC4-TTLL3_rna-XM_025154716.1
SRGAP1	SRGAP1_ENSGALT00000076654.2
UBE2V2	UBE2V2_rna-NM_001031018.1
ZNF737L	ZNF737L_rna-XM_025146137.1
NEBL1	NEBL1_rna-XM_025152531.1
EDA2R	EDA2R_ENSGALT00000059672.2
CKS1B	CKS1B_rna-NM_001112806.2
CNOT1	CNOT1_rna-XM_015279115.2
SMARCA2	SMARCA2_ENSGALT00000016528.5
TMEM132C	TMEM132C_rna-XM_025155712.1
NRG1	NRG1_rna-XM_025144618.1
ARHGEF11	ARHGEF11_rna-XM_015298447.2
QSOX2	QSOX2_rna-XM_004945983.3
C1QTNF6	C1QTNF6_ENSGALT00000107143.1
CARD9	CARD9_rna-XM_025141397.1
KERA	KERA_ENSGALT00000018391.3
NELFA	NELFA_ENSGALT00000025319.4
ORC5	ORC5_rna-XM_025147341.1
TMEM74	TMEM74_rna-XM_004939998.2
PRKACB	PRKACB_rna-XM_025152948.1
F10	F10_ENSGALT00000044622.2
AvBD6	AvBD6_rna-NM_001001193.1
ARHGAP32	ARHGAP32_rna-XM_025143331.1
TCAIM	TCAIM_rna-NM_001286225.1
TMPRSS11D	TMPRSS11D_rna-XM_015276394.2
TSPAN12	TSPAN12_ENSGALT00000014690.2
SCARA3	SCARA3_rna-XM_025149129.1
EPHA5	EPHA5_rna-XM_015276151.2
LMO7	LMO7_ENSGALT00000049862.2
LRRFIP2	LRRFIP2_rna-XM_015281654.2
RBFOX2	RBFOX2_rna-XM_015287979.2
TRRAP	TRRAP_rna-XM_015294314.1
DBX1	DBX1_rna-NM_001199474.1
HSPBAP1	HSPBAP1_rna-XM_015290000.2
HRH3	HRH3_rna-XM_004947083.3
SGO1	SGO1_rna-XM_015281492.2
ZNF831	ZNF831_rna-XM_004947211.3
VCAN	VCAN_rna-XM_015280586.2
MED15	MED15_rna-XM_015275461.2
EZH1	EZH1_rna-XM_015299634.2
ZP4	ZP4_ENSGALT00000033525.4
SRPK2	SRPK2_ENSGALT00000053364.2
SEMA4B	SEMA4B_rna-XM_025154046.1
CERS3	CERS3_rna-XM_025153903.1
RBM20	RBM20_rna-XM_015288974.2
PABPN1L	PABPN1L_rna-XM_001232210.5
KATNAL2	KATNAL2_rna-XM_414699.6
ADH1L	ADH1L_rna-XM_025149981.1
AWAT1	AWAT1_rna-XM_015278341.2
DACH1	DACH1_rna-XM_015275226.2
SMAD7	SMAD7_rna-XM_427238.6
BRI3	BRI3_ENSGALT00000081035.2
SUFU	SUFU_rna-NM_204264.1
USP42	USP42_rna-XM_015294262.2
GJA5	GJA5_rna-XM_015295941.1
PTPRF	PTPRF_rna-XM_025153103.1
TAF8	TAF8_rna-XM_015298954.2
SLC4A11	SLC4A11_ENSGALT00000062841.3
PLCH1	PLCH1_rna-XM_015291816.2
TPM3	TPM3_rna-XM_015298585.1
GDF9	GDF9_ENSGALT00000039889.4
geneid-LOC107049420	geneid-LOC107049420_id-LOC107049420
AMOTL2	AMOTL2_ENSGALT00000098965.1
ASH1L	ASH1L_rna-XM_015298652.2
AP1S3	AP1S3_rna-NM_001030008.1
USP33	USP33_rna-XM_004936674.3
SCLT1	SCLT1_rna-XM_025150397.1
RGS4	RGS4_ENSGALT00000004050.3
JAK1	JAK1_rna-XM_015290965.2
EGFLAM	EGFLAM_rna-XM_004937200.3
PRRC2C	PRRC2C_rna-XM_015290427.2
GLYATL3	GLYATL3_rna-XM_025151336.1
SERHL2	SERHL2_ENSGALT00000019361.6
KMT2D	KMT2D_ENSGALT00000052852.2
TYW3	TYW3_rna-NM_001277635.1
NOP14	NOP14_ENSGALT00000025234.7
PPP1R3B	PPP1R3B_rna-XM_025150150.1
CZH9ORF40	CZH9ORF40_rna-XM_004949166.3
KIAA1468	KIAA1468_rna-XM_015282204.2
MOCS3	MOCS3_ENSGALT00000012964.3
FBXO41	FBXO41_rna-XM_004936289.2
APBA3	APBA3_rna-XM_418188.6
KCNMA1	KCNMA1_rna-XM_015288166.2
ADRB2	ADRB2_rna-XM_015293684.2
TNKS1BP1	TNKS1BP1_rna-XM_421067.6
DYNC1I1	DYNC1I1_ENSGALT00000015824.6
KLHL9	KLHL9_rna-XM_015278242.2
SNED1	SNED1_rna-XM_015277089.2
FNDC9	FNDC9_rna-XM_003642056.4
WDR35	WDR35_rna-XM_419970.6
RUNX2	RUNX2_rna-XM_015285082.2
SMYD4	SMYD4_rna-XM_015295747.2
HSF5	HSF5_rna-XM_003642380.4
ZC3H7A	ZC3H7A_rna-XM_015294277.2
GRB10	GRB10_rna-NM_001039282.2
IL17B	IL17B_ENSGALT00000059282.2
DCAKD	DCAKD_rna-XM_004948497.3
CMTM8	CMTM8_rna-NM_001199703.1
S100A9	S100A9_ENSGALT00000022711.6
SPCS1	SPCS1_rna-NM_001171644.1
LAMA3	LAMA3_rna-XM_004939788.3
MLC1	MLC1_rna-XM_015273600.2
SPG11	SPG11_ENSGALT00000038202.4
IGLL1	IGLL1_rna-XM_025155482.1
UBE2I	UBE2I_rna-XM_015294114.2
FK21	FK21_rna-XM_015299204.2
LOXHD1	LOXHD1_rna-XM_425221.6
SIAH1	SIAH1_rna-XM_015292416.2
FAM107A	FAM107A_rna-XM_425164.4
GIGYF2	GIGYF2_rna-XM_015276857.2
HEPACAM2	HEPACAM2_rna-XM_025148438.1
DLX3	DLX3_rna-NM_204804.2
CRNKL1	CRNKL1_rna-XM_419315.6
PCGF5	PCGF5_rna-XM_015288398.2
ELMOD1	ELMOD1_rna-XM_025146871.1
TAF4B	TAF4B_ENSGALT00000024404.6
PCDH19	PCDH19_rna-XM_015278277.1
SRM130L1	SRM130L1_rna-XM_025155813.1
FBRSL1	FBRSL1_rna-XM_015275669.2
TDRD1	TDRD1_ENSGALT00000084946.2
RIMS1	RIMS1_rna-XM_015284786.2
ABCA9	ABCA9_rna-XM_415694.6
HIBADH	HIBADH_ENSGALT00000061433.3
BCL2L11	BCL2L11_rna-XM_025148907.1
IGLL1	IGLL1_rna-XM_025155493.1
MAGI2	MAGI2_rna-XM_015275750.2
GEN1	GEN1_rna-XM_419963.6
LRTM2	LRTM2_rna-XM_004937944.3
DAPK2	DAPK2_rna-XM_015278951.2
NEK6	NEK6_rna-NM_001012531.1
CIT	CIT_rna-XM_015275391.2
PLCH2	PLCH2_rna-XM_025142610.1
RALB	RALB_rna-XM_422085.5
LRCH3	LRCH3_rna-XM_025153650.1
BRICD5	BRICD5_rna-XM_025155247.1
PTCD3	PTCD3_ENSGALT00000025439.6
METAP1D	METAP1D_rna-XM_015289772.2
TP53BP1	TP53BP1_rna-XM_413957.6
OPNVA	OPNVA_rna-NM_001105318.1
EFTUD2	EFTUD2_rna-NM_001031501.1
ABCD3	ABCD3_rna-NM_001012597.1
NDE1	NDE1_ENSGALT00000066175.2
PKDCCB	PKDCCB_rna-XM_421361.6
KLHL7	KLHL7_ENSGALT00000017800.4
MAGI1	MAGI1_rna-XM_025154743.1
IPO11	IPO11_rna-XM_015277598.2
CSNK1D	CSNK1D_rna-XM_415634.6
ATP5MC2	ATP5MC2_ENSGALT00000069694.2
COL14A1	COL14A1_ENSGALT00000077257.3
CD36	CD36_ENSGALT00000102851.1
ATP6V1A	ATP6V1A_ENSGALT00000023895.5
TEX14	TEX14_rna-XM_015296113.2
STK24	STK24_rna-XM_015274308.1
ARL8B	ARL8B_rna-XM_414440.6
RIMS1	RIMS1_rna-XM_025149018.1
ATXN2	ATXN2_rna-XM_015275568.2
DCTD	DCTD_rna-XM_025149633.1
PER2	PER2_rna-XM_015276800.2
MANSC4	MANSC4_rna-XM_025142435.1
IL5RA	IL5RA_rna-NM_001256152.1
TASP1	TASP1_rna-XM_015283503.2
CHRAC1	CHRAC1_ENSGALT00000068981.2
DDX28	DDX28_ENSGALT00000106471.1
SH3KBP1	SH3KBP1_ENSGALT00000026488.5
ATN1	ATN1_rna-XM_004938120.3
HDGFRP2	HDGFRP2_rna-NM_001317087.1
AARS2	AARS2_ENSGALT00000051279.2
ZC3H7B	ZC3H7B_ENSGALT00000078681.3
RAB44	RAB44_rna-XM_015299127.2
CPNE2	CPNE2_ENSGALT00000002007.6
FGD3	FGD3_rna-XM_025154732.1
SSC4D	SSC4D_ENSGALT00000040256.5
TIFA	TIFA_rna-XM_015276339.2
SEMA4C	SEMA4C_rna-XM_025142821.1
FAM185A	FAM185A_rna-XM_015275768.2
CPNE2	CPNE2_rna-XM_025154153.1
PLS1	PLS1_rna-XM_015276839.2
SPIK7	SPIK7_ENSGALT00000005554.5
cds-YP	cds-YP_009555262.1_outOfFrame
CPPED1	CPPED1_rna-XM_025155054.1
CXorf23	CXorf23_rna-XM_025146578.1
C11H19orf12	C11H19orf12_rna-NM_001277671.1
MRAS	MRAS_ENSGALT00000105882.1
HS3ST6	HS3ST6_ENSGALT00000077041.3
C2H8ORF34	C2H8ORF34_rna-XM_015282758.2
PDE1A	PDE1A_rna-XM_015289544.2
ARNTL2	ARNTL2_rna-XM_025148783.1
DPF3	DPF3_rna-NM_204639.2
COBL	COBL_rna-XM_015282317.2
EYA4	EYA4_rna-XM_015284027.2
HPS1	HPS1_rna-XM_015288697.2
XCR1	XCR1_ENSGALT00000019168.4
SH3RF3	SH3RF3_ENSGALT00000027141.6
ASXL3	ASXL3_ENSGALT00000024516.7
GRAP2	GRAP2_rna-XM_004937732.3
ETNK1	ETNK1_rna-XM_015291728.2
GSDMA	GSDMA_rna-XM_015299515.2
MYO1D	MYO1D_rna-XM_025144141.1
CD72	CD72_ENSGALT00000091081.1
TCF12	TCF12_rna-XM_015278766.2
SLC2A11L3	SLC2A11L3_rna-XM_004934332.3
TMEM231	TMEM231_ENSGALT00000090346.2
ATP8B3	ATP8B3_rna-XM_025144335.1
CASD1	CASD1_rna-XM_015281926.2
FCHO2	FCHO2_rna-XM_001232743.5
DUOXA2	DUOXA2_rna-XM_015279088.2
SORBS1	SORBS1_rna-XM_015288499.2
NCOA6	NCOA6_rna-XM_004946867.3
NIN	NIN_rna-XM_025151278.1
BZW2	BZW2_rna-XM_015281407.2
IDH3B	IDH3B_ENSGALT00000052568.2
IQSEC1	IQSEC1_rna-XM_025154697.1
TXLNA	TXLNA_ENSGALT00000100738.1
SWT1	SWT1_rna-XM_015290580.2
TSNARE1	TSNARE1_rna-XM_025148189.1
EAF1	EAF1_ENSGALT00000065313.2
REXO5	REXO5_rna-XM_025155117.1
PER2	PER2_rna-XM_015276802.2
FANCM	FANCM_rna-XM_015276780.2
PHACTR2	PHACTR2_rna-XM_003640962.3
C1QTNF3	C1QTNF3_rna-XM_425002.6
GALNT3	GALNT3_rna-XM_025152654.1
RAB9A	RAB9A_ENSGALT00000026762.3
TUBG1	TUBG1_rna-XM_025144076.1
PIWIL1	PIWIL1_rna-XM_025155445.1
DEPDC6	DEPDC6_rna-NM_001199502.1
ARNT	ARNT_rna-NM_204200.1
MAP3K1	MAP3K1_ENSGALT00000023732.6
UNK	UNK_rna-XM_015295336.2
AMOTL1	AMOTL1_rna-XM_425649.6
FYTTD1L	FYTTD1L_rna-XM_015278433.2
OPTC	OPTC_rna-XM_015298880.2
THBS2	THBS2_rna-XM_015284053.1
ARTN	ARTN_rna-XM_025153107.1
SLC24A1	SLC24A1_ENSGALT00000012116.2
MAMDC4	MAMDC4_rna-XM_015279615.2
CYP39A1	CYP39A1_rna-XM_004935926.3
MEIOB	MEIOB_rna-XM_025155220.1
YIPF1	YIPF1_rna-NM_001277610.1
EBF1	EBF1_rna-XM_015293741.2
HMGCS1	HMGCS1_rna-NM_205411.1
RNF208	RNF208_ENSGALT00000014492.6
TES	TES_rna-XM_015277434.2
CTNS	CTNS_ENSGALT00000090410.1
CDS2	CDS2_rna-XM_417669.6
SLC4A4	SLC4A4_rna-XM_015276408.2
SBSPON	SBSPON_rna-XM_429743.6
ASCC1	ASCC1_rna-XM_025151714.1
EHMT1	EHMT1_rna-XM_015279501.2
ORC5	ORC5_rna-XM_025147350.1
GPR20	GPR20_ENSGALT00000064865.2
VMP1	VMP1_ENSGALT00000099277.1
BMP2	BMP2_rna-XM_025148482.1
TNN	TNN_rna-XM_015290526.2
CNGA4	CNGA4_rna-XM_015280937.2
COX6A1	COX6A1_rna-NM_001277510.1
KLHL15	KLHL15_rna-XM_015302426.2
GLRA1	GLRA1_rna-XM_015293917.2
YAP1	YAP1_ENSGALT00000058242.2
P3H3	P3H3_rna-XM_025143018.1
ACACA	ACACA_rna-XM_015295697.2
NRXN1	NRXN1_rna-XM_025148502.1
NRCAM	NRCAM_rna-XM_025146771.1
TPM3	TPM3_rna-XM_015298568.1
COL5A1	COL5A1_rna-XM_015279318.2
CNTN5	CNTN5_rna-XM_015279875.2
TMPRSS5	TMPRSS5_rna-XM_025143309.1
ARFGEF3	ARFGEF3_rna-XM_025149177.1
PUS10	PUS10_rna-XM_015283299.2
FAM103A1	FAM103A1_rna-NM_001277108.1
NOS1	NOS1_rna-XM_015294875.2
POGZ	POGZ_rna-XM_025143644.1
SBNO2	SBNO2_ENSGALT00000058343.2
MLLT10	MLLT10_rna-XM_015282018.2
PACSIN1	PACSIN1_rna-XM_418028.6
DCX	DCX_rna-XM_015278174.2
LRCH2	LRCH2_rna-XM_004940653.3
CEP250	CEP250_rna-XM_004946945.3
LATS1	LATS1_rna-XM_004935606.3
CISD1	CISD1_ENSGALT00000004265.6
TTLL5	TTLL5_rna-NM_001031204.3
LPAR1	LPAR1_rna-NM_001115082.1
SLC5A9	SLC5A9_rna-XM_015291227.2
SYNRG	SYNRG_rna-XM_015296161.1
ADD3	ADD3_rna-XM_015288534.2
PLSCR1	PLSCR1_rna-XM_015291618.2
AKTIP	AKTIP_ENSGALT00000052968.2
PRKAG3	PRKAG3_rna-XM_015289796.2
MOCS2	MOCS2_ENSGALT00000096442.1
DAZAP2	DAZAP2_ENSGALT00000094098.1
GFPT1	GFPT1_rna-XM_015297301.2
AMOTL2	AMOTL2_rna-XM_015277138.2
SYNRG	SYNRG_rna-XM_015296162.1
MAPK10	MAPK10_rna-NM_001318225.2
TAC1	TAC1_ENSGALT00000015846.6
PDK4	PDK4_ENSGALT00000015790.7
WDPCP	WDPCP_rna-XM_426108.6
SGIP1	SGIP1_rna-XM_015291111.2
SRRM1	SRRM1_rna-XM_015297691.2
ADIPOR2	ADIPOR2_rna-NM_001007854.1
SMYD4	SMYD4_ENSGALT00000098433.1
CLC2DL5	CLC2DL5_rna-XM_004950926.3
LARP6	LARP6_rna-XM_015278972.2
COPS9	COPS9_rna-NM_001277705.1
XPNPEP2	XPNPEP2_ENSGALT00000044943.3
HSF3	HSF3_rna-NM_001305041.1
DPCD	DPCD_rna-NM_001277366.1
USP12	USP12_rna-XM_025146840.1
KCNAB2	KCNAB2_ENSGALT00000097279.1
MCCC2	MCCC2_rna-XM_424967.5
RIN3	RIN3_rna-XM_421327.6
NDUFA6	NDUFA6_rna-NM_001278108.1
RB1CC1	RB1CC1_ENSGALT00000024628.6
GLCE	GLCE_rna-XM_015292210.2
SLC7A6	SLC7A6_rna-XM_015292302.2
ERG	ERG_rna-XM_025150666.1
DCUN1D4	DCUN1D4_rna-XM_025149932.1
NFAT5	NFAT5_rna-XM_015292583.2
PHACTR3	PHACTR3_rna-XM_001233075.4
UPP1	UPP1_rna-XM_004935137.3
PSMB7	PSMB7_rna-NM_204397.1
POM121CL	POM121CL_rna-XM_015295907.1
RBX1	RBX1_rna-NM_001199250.1
PRTFDC1	PRTFDC1_rna-NM_001199585.1
MTO1	MTO1_rna-NM_001079764.2
CRYL1	CRYL1_rna-NM_001030830.2
FK21	FK21_rna-XM_015299203.2
ESRRB	ESRRB_rna-XM_015287712.2
CRYBA4	CRYBA4_rna-NM_204178.1
HOXA1	HOXA1_rna-XM_003640697.4
NFKBIZ	NFKBIZ_rna-NM_001006254.1
SUSD1	SUSD1_rna-XM_004949518.3
CPED1	CPED1_ENSGALT00000014649.6
S100A16	S100A16_rna-XM_003642637.4
RSRP1	RSRP1_rna-XM_417739.6
SH3GL2	SH3GL2_ENSGALT00000024358.7
ARSI	ARSI_ENSGALT00000009011.6
UNC13D	UNC13D_rna-XM_004946126.3
PIGN	PIGN_rna-XM_004939694.3
PODXL	PODXL_ENSGALT00000093835.1
EBF1	EBF1_rna-XM_025154804.1
ACSS2	ACSS2_rna-XM_025142426.1
WWP2	WWP2_rna-XM_015292591.2
LUC7L2	LUC7L2_rna-NM_001030755.1
JMY	JMY_ENSGALT00000023926.5
VWA5A	VWA5A_rna-XM_015298313.2
PLCH2	PLCH2_rna-XM_025142613.1
ILF2	ILF2_rna-XM_025143492.1
DEPDC5	DEPDC5_rna-XM_025155719.1
OTOP1	OTOP1_rna-XM_025149804.1
ACSBG1	ACSBG1_rna-XM_025153912.1
KIAA0355	KIAA0355_ENSGALT00000076733.2
BCL6	BCL6_rna-NM_001012930.1
RABEPK	RABEPK_ENSGALT00000057653.2
FBXO39	FBXO39_rna-XM_025142114.1
BMT2	BMT2_ENSGALT00000038899.3
RAC3	RAC3_ENSGALT00000053553.2
RTKN	RTKN_rna-XM_025150451.1
DRAM2	DRAM2_rna-XM_015298810.2
FAM206A	FAM206A_rna-XM_025147280.1
PIK3CB	PIK3CB_ENSGALT00000008754.4
SEPT3	SEPT3_rna-XM_025155082.1
EXOC7	EXOC7_rna-NM_001012802.1
DAB1	DAB1_rna-XM_015290926.2
ATP2B4	ATP2B4_rna-XM_015298964.2
NELFA	NELFA_rna-XM_025149714.1
CAAP1	CAAP1_rna-XM_004949575.3
SEMA6B	SEMA6B_rna-XM_015300012.2
CARS2	CARS2_rna-XM_015277879.2
OSGIN1	OSGIN1_rna-XM_025154267.1
SMAD1	SMAD1_ENSGALT00000047339.2
GASTL	GASTL_rna-XM_425832.5
VGLL4	VGLL4_rna-XM_015293055.2
CENPI	CENPI_ENSGALT00000008077.7
USH1C	USH1C_rna-XM_015286651.2
EP400	EP400_rna-XM_015275646.2
CHIR-A2	CHIR-A2_rna-NM_001146138.1_outOfFrame
GADD45G	GADD45G_rna-NM_001044666.1
ATP13A2	ATP13A2_rna-XM_015296909.2
DDIAS	DDIAS_rna-XM_025146900.1
FOXP3	FOXP3_ENSGALT00000075651.2
OTOGL	OTOGL_ENSGALT00000017091.7
P3H2	P3H2_rna-NM_001001530.1
RIMS1	RIMS1_rna-XM_025149015.1
HAPLN3	HAPLN3_rna-XM_413868.6
CHDB1	CHDB1_rna-XM_015300461.2
SULT6B1	SULT6B1_rna-XM_025149302.1
RGS7	RGS7_ENSGALT00000099798.1
HIST1H101	HIST1H101_rna-NM_001040642.1
LRP1	LRP1_ENSGALT00000065590.2
ACTR6	ACTR6_ENSGALT00000064051.2
TSGA10	TSGA10_rna-XM_025146644.1
UBE2E3	UBE2E3_rna-XM_015289436.2
PTCH2	PTCH2_rna-XM_025153072.1
CAMK4L	CAMK4L_rna-XM_025144406.1
PTK2B	PTK2B_rna-XM_003641070.4
PTN	PTN_ENSGALT00000103339.1
geneid-LOC107049428	geneid-LOC107049428_id-LOC107049428
ATP8B3	ATP8B3_rna-XM_025144336.1
AKIP1	AKIP1_rna-XM_420987.6
GJB1	GJB1_ENSGALT00000008890.5
GTDC1	GTDC1_rna-XM_025152238.1
REN	REN_rna-XM_025143916.1
CRHR2	CRHR2_rna-NM_204454.1
ABCB1LA	ABCB1LA_rna-XM_025148400.1
FGFR1	FGFR1_rna-XM_025142770.1
KPTN	KPTN_rna-XM_015272484.2
TPM1	TPM1_rna-XM_015278778.2
PLCB1	PLCB1_rna-XM_025149260.1
LRRC28	LRRC28_rna-XM_025153849.1
ATP6V1G1	ATP6V1G1_rna-NM_001277677.1
ST3GAL6	ST3GAL6_rna-XM_025152159.1
SLC51B	SLC51B_rna-XM_025153901.1
SLC35A4	SLC35A4_rna-XM_015293543.1
EBF3	EBF3_rna-XM_025152035.1
PLS1	PLS1_rna-XM_025153321.1
CLCN2	CLCN2_rna-XM_025153671.1
EPB41L4A	EPB41L4A_rna-XM_004949290.3
NAA30	NAA30_ENSGALT00000019761.6
SLC9A9	SLC9A9_rna-XM_015276870.2
CD44	CD44_rna-XM_025150576.1
IWS1	IWS1_rna-XM_015277203.2
SALL1	SALL1_rna-XM_025154146.1
NONO	NONO_rna-XM_025149746.1
CYYR1	CYYR1_rna-XM_015299155.2
KMT2C	KMT2C_rna-XM_025148298.1
WASHC4	WASHC4_rna-XM_025155663.1
MAP4K3	MAP4K3_rna-XM_025149404.1
C1R	C1R_rna-XM_416518.6
NFYA	NFYA_rna-XM_015298942.2
PCASP3	PCASP3_rna-XM_004943611.3
SYNPO	SYNPO_rna-XM_025155013.1
KDM6A	KDM6A_rna-XM_015300653.2
B3GAT1L	B3GAT1L_rna-XM_025147110.1
MAPT	MAPT_rna-XM_015299350.2
CDC14B	CDC14B_rna-XM_004949233.3
CLASP1	CLASP1_rna-XM_015290011.2
STEAP4	STEAP4_rna-XM_025148415.1
SMYD1	SMYD1_rna-NM_204155.1
AFDN	AFDN_rna-XM_015284358.2
SHC1	SHC1_rna-XM_004948266.3
GFPT1	GFPT1_rna-XM_015297302.2
GOT2	GOT2_rna-NM_205523.1
CDK14	CDK14_rna-XM_015281964.2
NSL1	NSL1_rna-NM_001044646.1
ANGEL2	ANGEL2_rna-XM_015283661.2
RYR2	RYR2_rna-XM_025149039.1
SPIN1Z	SPIN1Z_rna-XM_015280237.2
EPB41L4B	EPB41L4B_rna-XM_015282347.2
HELLS	HELLS_rna-XM_421626.6
FOXA1	FOXA1_ENSGALT00000078617.2
GALNT9	GALNT9_rna-XM_004945512.3
KLHL15	KLHL15_rna-XM_015302410.2
DTNA	DTNA_rna-XM_025147937.1
PABPC1L	PABPC1L_ENSGALT00000006565.6
SPATS2L	SPATS2L_rna-XM_015289415.2
RHOJ	RHOJ_ENSGALT00000106191.1
WNT3A	WNT3A_rna-NM_204675.2
CYFIP1	CYFIP1_rna-XM_003640523.4
MCMBP	MCMBP_ENSGALT00000038766.4
UBAP2L	UBAP2L_rna-XM_423817.6
LDLRAD1	LDLRAD1_ENSGALT00000033030.4
MAST3	MAST3_rna-XM_015300151.2
PHF20L1	PHF20L1_rna-XM_025147128.1
CD164L2	CD164L2_ENSGALT00000082737.2
KANK1	KANK1_rna-XM_015280068.1
PLPP3	PLPP3_ENSGALT00000017589.5
SNAPC5	SNAPC5_ENSGALT00000012470.4
GREB1L	GREB1L_rna-XM_015277955.2
EBF1	EBF1_rna-XM_015293735.2
MCF2L2	MCF2L2_rna-XM_004943443.3
PRRC2C	PRRC2C_rna-XM_025153048.1
PKNOX1	PKNOX1_rna-XM_025145596.1
UBE2M	UBE2M_ENSGALT00000071138.2
